Phylum	Class	Genus	Species	Subspecies	English name	GB	FRANCE	BELGIUM	NETHERLANDS	RINSE GB	RINSE FRANCE	RINSE BELGIUM	RINSE NETHERLANDS	Environment
Angiospermae	Eudicotyledoneae	Cotoneaster	bullatus		Hollyberry Cotoneaster	Y		Y						T
Angiospermae	Eudicotyledoneae	Cotoneaster	dielsianus		Diel's Cotoneaster	Y		Y				Y		T
Angiospermae	Eudicotyledoneae	Cotoneaster	frigidus		Tree Cotoneaster	Y								T
Angiospermae	Eudicotyledoneae	Cotoneaster	hjelmqvistii		Hjelmqvist's Cotoneaster	Y								T
Angiospermae	Eudicotyledoneae	Cotoneaster	integrifolius		Entire-leaved Cotoneaster	Y		Y				Y		T
Angiospermae	Eudicotyledoneae	Cotoneaster	lacteus		Late Cotoneaster	Y								T
Angiospermae	Eudicotyledoneae	Cotoneaster	microphyllus		Small-leaved Cotoneaster	Y								T
Angiospermae	Eudicotyledoneae	Cotoneaster	prostratus		Procumbent Cotoneaster	Y								T
Angiospermae	Eudicotyledoneae	Cotoneaster	rehderi		Bullate Cotoneaster	Y		Y	Y			Y	Y	T
Angiospermae	Eudicotyledoneae	Cotoneaster	salicifolius		Willow-leaved Cotoneaster	Y		Y	Y			Y	Y	T
Angiospermae	Eudicotyledoneae	Cotoneaster	simonsii		Himalayan Cotoneaster	Y	Y	Y	Y			Y		T
Angiospermae	Eudicotyledoneae	Cotoneaster	sternianus		Stern's Cotoneaster	Y		Y				Y		T
Angiospermae	Eudicotyledoneae	Cotoneaster	suecicus		Swedish Cotoneaster	Y								T
Angiospermae	Eudicotyledoneae	Cotula	coronopifolia		Brass Buttons	Y	Y	Y	Y			Y	Y	T+M
Chordata	Aves	Coturnix	japonica		 Japanese Quail	Y		Y	Y			Y	Y	T
Arthropoda	Insecta	Crambus	leucoschalis		 African Grass-veneer	Y	Y			Y				T
Arthropoda	Malacostraca	Crangonyx	pseudogracilis		Northern River Crangonyctid	Y	Y	Y	Y	Y	Y	Y	Y	F
Arthropoda	Malacostraca	Crangonyx	subterraneus			Y			Y	Y			Y	F
Cnidaria	Hydrozoa	Craspedacusta	sowerbyi			Y	Y	Y	Y	Y	Y	Y	Y	F
Mollusca	Bivalvia	Crassostrea	brasiliana			Y				Y				M
Mollusca	Bivalvia	Crassostrea	gigas		Pacific oyster	Y	Y	Y	Y	Y	Y	Y	Y	M+F
Mollusca	Bivalvia	Crassostrea	rhizophorae		Mangrove oyster	N	Y			N	N			M
Mollusca	Bivalvia	Crassostrea	rivularis		jinjiang oyster		Y				?			M
Mollusca	Bivalvia	Crassostrea	sikamea		Kumamoto oyster		Y				?			M
Mollusca	Bivalvia	Crassostrea	virginica		American oyster	Y	Y	Y	Y	Y	?	Y	Y	M
Angiospermae	Eudicotyledoneae	Crassula	helmsii		New Zealand Pigmyweed	Y	Y	Y	Y	Y	Y	Y	Y	F
Arthropoda	Insecta	Crematogaster	scutellaris			Y			Y					T
Arthropoda	Insecta	Crenidorsum	aroidephagus				Y				?			T
Mollusca	Gastropoda	Crepidula	fornicata		Slipper limpet	Y	Y	Y	Y	Y	Y	Y	Y	M
Arthropoda	Insecta	Crioceris	asparagi		 Asparagus Beetle	Y	Y	Y	Y	Y	?	Y	Y	T
Arthropoda	Maxillopoda	Critomolgus	actiniae			Y				Y				M
Arthropoda	Insecta	Crocidosema	plebejana		 Cotton tipworm	Y	Y		Y	Y			Y	T
Chordata	Mammalia	Crocidura	suaveolens		Lesser White-toothed Shrew	Y	Y			N	N			T
Angiospermae	Monocotyledoneae	Crocosmia	aureaXpottsii		Montbretia	Y	Y							T
Basidiomycota	Urediniomycetes	Cronartium	ribicola   			Y	Y	Y	Y	Y				T
Arthropoda	Arachnida	Crossopriza	lyoni					Y				Y		T
Chordata	Aves	Crossoptilon	auritum		 Blue Eared Pheasant	Y								T
Arthropoda	Insecta	Cryphalus	abietis  			Y				?				T
Arthropoda	Insecta	Cryphalus	asperatus			Y				Y				T
Arthropoda	Insecta	Cryphalus	piceae		 Small Fir Bark Beetle	Y								T
Arthropoda	Insecta	Cryphia	algae		 Tree-Lichen Beauty	Y	Y			Y	Y			T
Ascomycota	Sordariomycetes	Cryphonectria	parasitica   				Y	Y	Y		N			T
Arthropoda	Insecta	Cryptamorpha	desjardinsi  					Y	Y			?	?	T
Arthropoda	Insecta	Cryptoblabes	gnidiella		 Honeydew moth	Y	Y			N				T
Arthropoda	Insecta	Cryptolaemus	montrouzieri			Y	Y	Y		N		Y		T
Arthropoda	Insecta	Cryptolestes	capensis			Y		Y		?		?		T
Arthropoda	Insecta	Cryptolestes	turcicus						Y					T
Arthropoda	Insecta	Cryptolestes 	pusillus			Y	Y		Y	Y				T
Pinophyta	Pinopsida	Cryptomeria	japonica   			Y	Y	Y	Y	Y	N	N	N	T
Rhodophyta	not assigned	Cryptonemia	hibernica			Y				?				M
Rhodophyta	not assigned	Cryptonemia	lomation				Y				N			M
Arthropoda	Insecta	Cryptophilus	obliteratus  				Y				?			T
Arthropoda	Insecta	Cryptopleurum 	subtile			Y	Y	Y	Y	Y				T
Arthropoda	Diplopoda	Cryptops	anomalans			Y				Y				T
Arthropoda	Collembola	Cryptopygus	thermophilus			Y			Y	Y				T
Ascomycota	Ascomycetes	Cryptostroma	corticale   			Y	Y			Y				T
Arthropoda	Insecta	Cryptotermes	brevis  			Y	Y		Y	?				T
Arthropoda	Insecta	Crypturaphis	grassii			Y				?				T
Arthropoda	Insecta	Crypturgus	cinereus			Y	Y	Y	Y		Y	Y	N	T
Arthropoda	Insecta	Crypturgus	subcribrosus			Y				Y				T
Arthropoda	Insecta	Ctenarytaina	eucalypti		 Blue Gum Psyllid	Y	Y			Y				T
Arthropoda	Insecta	Ctenarytaina	peregrina  			Y	Y			?	?			T
Arthropoda	Insecta	Ctenarytaina	spatulata				Y				?			T
Arthropoda	Insecta	Cteniscus	dorsalis  				Y				?			T
Arthropoda	Insecta	Ctenolepisma 	longicaudatum						Y					T
Chordata	Actinopterygii	Ctenopharyngodon	idella		Chinese Grass Carp	Y	Y	Y	Y	Y	Y	Y	Y	F
Arthropoda	Arachnida	Cupiennus	getazi					Y				Y		T
Pinophyta	Pinopsida	Cupressus	macrocarpa   			Y	Y			Y	N			T
Pinophyta	Pinopsida	Cuprocyparis				Y	Y							T
Angiospermae	Eudicotyledoneae	Cuscuta	campestris		Yellow Dodder	Y	Y	Y	Y			Y	Y	T
Chordata	Aves	Cyanochen	cyanoptera		Blue-winged Goose	Y		Y	Y	Y		Y	N	F+T
Chordata	Aves	Cyanocitta	cristata		 Blue Jay	Y								T
Chordata	Aves	Cyanoliseus	patagonus		 Patagonian Conure	Y				Y				T
Chordata	Aves	Cyanoramphus	novaezelandiae		 Red-fronted Parakeet	Y		Y	Y				Y	T
Arthropoda	Insecta	Cycloneda	sanguinea		 Spotless ladybird	Y				?				T
Arthropoda	Insecta	Cyclorhipidion	bodoanus				Y		Y		?		?	T
Arthropoda	Insecta	Cyclorhipidion					Y	Y	Y		?	Y	?	T
Arthropoda	Insecta	Cydalima	perspectalis			Y	Y		Y	?	?		Y	T
Arthropoda	Insecta	Cydia	conicolana		 Pine-cone Piercer	Y	Y		Y	Y	N		Y	T
Arthropoda	Insecta	Cydia	grunertiana					Y				?		T
Arthropoda	Insecta	Cydia	illutana		 Larch Piercer	Y	Y		Y				Y	T
Arthropoda	Insecta	Cydia	milleniana			Y	Y	Y	Y	Y	Y	Y	Y	T
Arthropoda	Insecta	Cydia	pactolana		 Spruce bark tortrix	Y	Y		Y	N			Y	T
Arthropoda	Insecta	Cydia	strobilella						Y				?	T
Chordata	Aves	Cygnus	atratus		Black Swan	Y	Y	Y	Y	Y	Y	Y	Y	F+T+M
Chordata	Aves	Cygnus	buccinator		Trumpeter Swan	Y		Y		Y		Y		F+T+M
Chordata	Aves	Cygnus	cygnus		Whooper Swan	Y, nat	nat	nat	nat	Y, nat	nat	nat	nat	F+T
Chordata	Aves	Cygnus	melanocoryphus		Black-necked Swan	Y		Y	Y	Y		Y	Y	F+T+M
Chordata	Aves	Cygnus	olor		Mute Swan	Y, nat	Y, nat	Y, nat	Y, nat	Y, nat	Y, nat	Y, nat	Y, nat	F+T+M
Ascomycota	Sordariomycetes	Cylindrocladium	buxicola   			Y	Y	Y	Y					T
Arthropoda	Diplopoda	Cylindrodesmus	hirsutus			Y	Y		Y					T
Arthropoda	Diplopoda	Cylindroiulus	britannicus			Y			Y	Y			N	T
Arthropoda	Diplopoda	Cylindroiulus 	apenninorum						Y					T
Arthropoda	Diplopoda	Cylindroiulus 	truncorum			Y	Y	Y	Y	Y				T
Arthropoda	Malacostraca	Cymodoce	truncata			Y			Y	Y			N	M
Arthropoda	Insecta	Cynaeus	angustus  				Y				?			T
Angiospermae	Monocotyledoneae	Cyperus	eragrostis		Pale Galingale	Y	Y	Y	Y		Y	Y	Y	T
Arthropoda	Insecta	Cyphostethus	tristriatus		 Juniper Shieldbug	Y	Y	Y	Y	Y	N	Y	Y	T
Chordata	Actinopterygii	Cyprinella	lutrensis		Red shiner	Y		N		N		N		F
Chordata	Actinopterygii	Cyprinus	carpio		Carp	Y	Y	Y	Y	Y	Y	Y	Y	F
Arthropoda	Insecta	Cyrtogramme	melagynalis			Y, Indoors				N	N	N	N	F+T
Chordata	Aves	Dacelo	novaeguineae		Laughing Kookaburra			Y				Y		T
Arthropoda	Insecta	Dacne	picta  				Y				?			T
Platyhelminthes	Trematoda	Dactylogyrus	anchoratus			Y				Y				M
Platyhelminthes	Trematoda	Dactylogyrus	extensus			Y				?				F
Arthropoda	Insecta	Dactylosternum	abdominale  				Y				?			T
Arthropoda	Insecta	Dactylotrypes	longicollis				Y				?			T
Arthropoda	Insecta	Dacus	ciliatus		 A Fruit Fly [ 	Y	N	N	N	N	N	N	N	T
Chordata	Mammalia	Dama	dama		Fallow Deer	Y	Y	Y	Y	Y	Y	Y	Y	T
Arthropoda	Branchiopoda	Daphnia	ambigua		Water flea	Y		Y	Y	Y		Y	Y	F
Arthropoda	Branchiopoda	Daphnia	atkinsoni			Y			Y	Y			Y	F
Arthropoda	Branchiopoda	Daphnia	parvula						Y				?	F
Arthropoda	Insecta	Dasineura	abietiperda		 A Gall Midge	Y	Y			?	?			T
Arthropoda	Insecta	Dasineura	gibsoni		 A Gall Midge	Y			N	N			N	T
Arthropoda	Insecta	Dasineura	gleditchiae		 Honey Locust Gall(pod) Midge	Y	Y	Y	Y	Y			Y	T
Arthropoda	Insecta	Dasineura	kellneri		 A Gall Midge	Y				?				T
Arthropoda	Insecta	Dasineura	oleae		 A Gall Midge	Y	N	N	N	Y	N	N	N	T
Arthropoda	Insecta	Dasineura	oxycoccana		 A Gall Midge	Y	Y			Y	?			T
Arthropoda	Insecta	Dasineura	pyri		 Pear Leaf Midge	Y				Y				T
Arthropoda	Insecta	Dasineura	rhododendri		 A Gall Midge	Y	Y		N	N	N		N	T
Rhodophyta	not assigned	Dasya	baillouviana						Y				Y	M
Rhodophyta	not assigned	Dasya	sessilis				Y				N			F
Arthropoda	Insecta	Dasypogon	diadema		 A Robber Fly	Y	Y		N	?	?			T
Rhodophyta	not assigned	Dasysiphonia							Y					M
Arthropoda	Insecta	Dasysyrphus	friuliensis		 A Hoverfly	Y		Y	Y	Y		?	N	T
Angiospermae	Eudicotyledoneae	Datura	stramonium		Thorn-Apple	Y	Y	Y	Y		Y	Y	Y	T
Nematoda	Secernentea	Deladenus	durus					Y	Y			?	?	T
Angiospermae	Eudicotyledoneae	Delairea	odorata		Cape ivy	Y	Y							T
Arthropoda	Insecta	Delomerista	novita			Y			Y	N			?	T
Arthropoda	Insecta	Delottococcus	euphorbiae				Y				?			T
Arthropoda	Insecta	Delphastus	catalinae			Y				?				T
Platyhelminthes	Turbellaria	Dendrocoelum	 romanodanubiale				Y	Y	Y		?	Y	?	F
Arthropoda	Insecta	Dendroctonus	micans		 Great Spruce Bark Beetle	Y	Y	Y	Y	Y	N	Y	N	T
Chordata	Aves	Dendrocygna	bicolor		Fulvous Whisting Duck	Y	Y	Y	Y	Y	?	Y	Y	F+T
Chordata	Aves	Dendrocygna	javanica		Lesser Whistling Duck	Y				Y				F+T+M
Chordata	Aves	Dendrocygna	viduata		White-faced Whistling Duck	Y	Y	Y	Y	Y	?	Y	Y	F+T
Chordata	Aves	Dendroica	striata		 Blackpoll Warbler	Y	Y			Y				T
Arthropoda	Insecta	Deraeocoris	flavilinea			Y	Y	Y	Y	Y		Y	Y	T
Chlorophyta	Bryopsidophyceae	Derbesia	rhizophora				Y				N			M
Arthropoda	Arachnida	Dermatophagoides	evansi						Y					T
Arthropoda	Insecta	Dermestes	ater		 Black Larder Beetle	Y	Y	Y	Y	Y	?	Y	Y	T
Arthropoda	Insecta	Dermestes	bicolor						Y					T
Arthropoda	Insecta	Dermestes	carnivorus			Y	Y	Y		?	?	?		T
Arthropoda	Insecta	Dermestes	frischii			Y	Y		Y	Y	?		Y	T
Arthropoda	Insecta	Dermestes	leechi			Y								T
Arthropoda	Insecta	Dermestes	maculatus		 Hide Beetle	Y	Y	Y	Y	Y	?	Y	Y	T
Arthropoda	Insecta	Dermestes	peruvianus		 Peruvian Larder Beetle	Y	Y			Y	?			T
Mollusca	Gastropoda	Deroceras	panormitanum		Chestnut Slug	Y	Y	Y	Y	Y	N	Y	Y	T
Arthropoda	Insecta	Derolus	mauritanicus  				Y							T
Arthropoda	Insecta	Diabrotica	virgifera		 Western Corn Rootworm [ 	Y, Er	Y	Y	Y	Y, Er	N	Y	Y	T
Arthropoda	Insecta	Diabrotica	virgifera	virgifera		Y	Y	Y	Y	Y	N	Y	Y	T
Cnidaria	Anthozoa	Diadumene	cincta		Known in USA as orange anemone	Y	Y	Y	Y	Y	Y	Y	Y	M
Cnidaria	Anthozoa	Diadumene	lineata				Y	Y			Y	Y		M
Arthropoda	Insecta	Dialeurodes	chittendeni		 rhododendron whitefly	Y	Y	Y	Y	?	?	?	?	T
Arthropoda	Insecta	Dialeurodes	citri				Y				?			T
Arthropoda	Insecta	Diaphania	perspectalis  				Y		Y		?		?	T
Arthropoda	Insecta	Diaspidiotus	perniciosus			Y	Y		Y	?				T
Arthropoda	Insecta	Diaspis	boisduvalii 			Y	Y			?	?			T
Arthropoda	Insecta	Diaspis	bromeliae 			Y	Y		Y	?	?		?	T
Arthropoda	Insecta	Diaspis	echinocacti			Y	Y			?	?			T
Arthropoda	Arachnida	Diblemma	donisthorpei			Y								T
Arthropoda	Insecta	Dichelia	cedricola  				Y				?			T
Arthropoda	Insecta	Dichromothrips	phalaenopsidis						Y				?	T
Arthropoda	Insecta	Dichromothrips 	corbetti						Y					T
Arthropoda	Insecta	Dichrooscytus	gustavi			Y	Y	Y	Y	Y				T
Pteridophyta	Pteridopsida	Dicksonia	antarctica		 Australian Tree Ferns	Y				Y				T
Arthropoda	Insecta	Dicyphus	escalerae			Y	Y			?	Y			T
Arthropoda	Insecta	Dicyphus	pallicornis			Y		Y	Y	Y		Y	Y	T
Arthropoda	Insecta	Didactylomyia	longimana		 A Gall Midge			Y	Y			?	?	T
Arthropoda	Insecta	Didea	intermedia		 A Hoverfly	Y			Y	Y			Y	T
Chordata	Ascidiacea	Didemnum	vexillum		Carpet sea squirt	Y	Y		Y	Y	Y		Y	M
Ascomycota	Ascomycetes	Didymascella	thujina   			Y	Y	Y	Y	Y				T
Arthropoda	Insecta	Dienerella	ruficollis			Y				Y				T
Arthropoda	Malacostraca	Dikerogammarus	haemophabes				Y	Y	Y		Y	Y	Y	F
Arthropoda	Malacostraca	Dikerogammarus	villosus		Killer Shrimp	Y	Y	Y	Y	Y	Y	Y	Y	M+F
Arthropoda	Insecta	Dinoderus	bifoveolatus			Y		Y	Y	?		?	?	T
Arthropoda	Insecta	Dinoderus	minutus			Y	Y	Y	Y	?	?	Y	Y	T
Arthropoda	Insecta	Dioryctria	schuetzeella		 Spruce Knot-horn	Y	Y	Y	Y	Y			Y	T
Arthropoda	Insecta	Diplopseustis 	perieresalis			Y	Y	Y	Y	Y	?	?	?	T
Chordata	Ascidiacea	Diplosoma	listerianum			Y	Y	Y	Y	Y	Y		Y	M
Arthropoda	Insecta	Diplostix	mayeti  				Y				?			T
Arthropoda	Arachnida	Dipoena	lugens			Y								T
Arthropoda	Insecta	Diprion	similis  			Y	Y		Y	?				T
Arthropoda	Insecta	Diradius	 intricatus						Y					T
Chordata	Amphibia	Discoglossus	pictus		Mediterranean Painted Frog		Y				N			F
Angiospermae	Eudicotyledoneae	Disphyma	crassifolium		Purple Dewplant	Y								T
Nematoda	Tylenchoidea	Ditylenchus	destructor			Y	Y	Y	Y	?	?	?	?	T
Nematoda	Tylenchoidea	Ditylenchus	dipsaci			Y		Y	Y	Y		Y	N	T
Chordata	Aves	Diuca	diuca		 Common Diuca Finch	Y				?				T
Arthropoda	Insecta	Diuraphis	noxia			Y, Er	Y		Y	?				T
Arthropoda	Insecta	Diversinervus	elegans  				Y				?			T
Arthropoda	Insecta	Dohrniphora	cornuta		 A Scuttle Fly	Y	Y	Y	Y	?	?	Y	?	T
Arthropoda	Insecta	Dorypteryx	domestica  			Y	Y			?	?			T
Arthropoda	Insecta	Dorypteryx	pallida  				Y				?			T
Mollusca	Bivalvia	Dreissena	polymorpha		Zebra Mussel	Y	Y	Y	Y	Y	Y	Y	Y	F
Ascomycota	Ascomycetes	Drepanopeziza	punctiformis   			Y	Y	Y	Y	Y				T
Arthropoda	Insecta	Drepanosiphum	acerinum			Y			Y	?			N	T
Arthropoda	Branchiopoda	Drepanothrix 	dentata			Y		Y	Y	Y		Y	Y	F
Arthropoda	Insecta	Drosophila	busckii		 A Lesser Fruit Fly	Y		Y	Y	Y		?	?	T
Arthropoda	Insecta	Drosophila	hydei		 A Lesser Fruit Fly	Y	Y	Y	Y	Y	?	?	?	T
Arthropoda	Insecta	Drosophila	immigrans		 A Lesser Fruit Fly	Y		Y	Y	Y		?	N	T
Arthropoda	Insecta	Drosophila	melanogaster		 A Lesser Fruit Fly	Y		Y	Y	Y			Y	T
Arthropoda	Insecta	Drosophila	repleta		 A Lesser Fruit Fly	Y		Y	Y					T
Arthropoda	Insecta	Drosophila	suzukii  				Y				?			T
Arthropoda	Insecta	Dryadaula	pactolia		 Cellar Clothes Moth	Y				N				T
Arthropoda	Insecta	Dryocoetes	himalayensis				Y				?			T
Chordata	Aves	Dryocopus	martius		 Black Woodpecker	Y	Y	Y	Y		Y	Y	Y	T
Arthropoda	Insecta	Dryocosmus	kuriphilus		 Chestnut Gall Wasp	N	Y		N	N	?		N	T
Arthropoda	Insecta	Dryodurgades	antoniae			Y		Y		Y		N		T
Angiospermae	Eudicotyledoneae	Duchesnea	indica		Yellow-flowered Strawberry	Y	Y	Y	Y			Y	Y	T
Platyhelminthes	Turbellaria	Dugesia 	tigrina			Y	Y	Y	Y	Y	?	Y	Y	F
Arthropoda	Insecta	Duponchelia	fovealis		 Dark Marbled Tabby	Y	Y	Y	Y	Y		Y	Y	T
Arthropoda	Malacostraca	Dynamene	bidentata			Y			Y	Y			N	M
Arthropoda	Insecta	Dysaphis	tulipae			Y	Y		Y	?	?		?	T
Arthropoda	Arachnida	Dysdera	crocata		 Woodlouse spider [ 	Y	Y	Y	Y	Y	?	Y	Y	T
Arthropoda	Arachnida	Dysdera	erythrina			Y	Y	Y	Y	Y			Y	T
Arthropoda	Insecta	Dysmicoccus	brevipes						Y				?	T
Arthropoda	Insecta	Dysmicoccus	grassii				Y				?			T
Arthropoda	Insecta	Dysmicoccus	neobrevipes						Y				?	T
Arthropoda	Malacostraca	Dyspanopeus	sayi		Say mud crab	Y, Er				N				M
Arthropoda	Insecta	Earias	biplaga		 Spiny Bollworm	Y				Y				T
Arthropoda	Insecta	Eccopisa	effractella		 Royal Knot-horn	Y	Y	Y	Y		N	N	Y	T
Arthropoda	Malacostraca	Echinogammarus	berilloni				Y	Y	Y		Y	Y	Y	F
Arthropoda	Malacostraca	Echinogammarus 	ischnus				Y		Y		Y		Y	F
Arthropoda	Malacostraca	Echinogammarus 	trichiatus					Y	Y			Y	Y	F
Arthropoda	Insecta	Echinothrips	americanus			Y	Y		Y	?	?		?	T
Arthropoda	Insecta	Ectoedemia	heringella			Y	Y			Y				T
Arthropoda	Insecta	Ectopsocopsis	cryptomeriae  				Y				?			T
Arthropoda	Insecta	Ectopsocus	axillaris  			Y				?				T
Arthropoda	Insecta	Ectopsocus	maindroni  			Y				?				T
Arthropoda	Insecta	Ectopsocus	richardsi  			Y				?				T
Arthropoda	Insecta	Ectopsocus 	briggsi						Y					T
Arthropoda	Insecta	Edwardsiana	ishidai			Y			Y	Y				T
Arthropoda	Insecta	Edwardsiana	nigriloba			Y				Y				T
Angiospermae	Monocotyledoneae	Egeria	densa		Large-Flowered Waterweed	Y	Y	Y	Y	Y	N	Y	Y	F
Angiospermae	Monocotyledoneae	Eichhornia	crassipes		Water Hyacinth	Y	Y	Y	Y	Y	Y	Y	Y	F
Arthropoda	Insecta	Eilema	caniola			Y	Y	Y	Y	Y	N	N	N	T
Arthropoda	Insecta	Elachista				Y	Y	Y	Y	Y		Y	Y	M
Angiospermae	Eudicotyledoneae	Elaeagnus	angustifolia		Elaeagnus	Y	Y	Y				Y		T
Chordata	Aves	Elanoides	forficatus		 American Swallow-tailed Kite	Y								T
Arthropoda	Insecta	Elatobium	abietinum		 Green Spruce Aphid	Y	Y		Y	Y	?		Y	T
Bryozoa	Gymnolaemata	Electra 	pilosa			Y	Y	Y	Y	Y	Y	Y	Y	M
Chordata	Mammalia	Eliomys	quercinus		Farden Dormouse	Y, Ex	nat	nat	nat	Y, Ex	nat	nat	nat	T
Arthropoda	Maxillopoda	Elminius	modestus			Y	Y	Y	Y	Y	Y	Y	Y	M
Angiospermae	Monocotyledoneae	Elodea	callitrichoides		South American Waterweed	Y	Y			?	?			F
Angiospermae	Monocotyledoneae	Elodea	canadensis		Canadian Pondweed	Y	Y	Y	Y	Y	Y	Y	Y	F
Angiospermae	Monocotyledoneae	Elodea	nuttallii		Esthwaite Water-Weed	Y	Y	Y	Y	Y	Y	Y	Y	F
Arthropoda	Insecta	Elophila	difflualis		Asian China-mark	Y, Indoors	N	N	Y	N	N	N	N	F+T
Arthropoda	Insecta	Elophila	manilensis		Philippine China-mark	Y	N	N	N	N	N	N	N	F+T
Arthropoda	Insecta	Elophila	melagynalis  			Y				Y				F+T
Arthropoda	Insecta	Elophila	nymphaeata		Brown China-mark	Y	Y	Y	Y	Y	Y	Y	Y	F+T
Arthropoda	Insecta	Elophila	obliteralis  			Y				?				F+T
Chordata	Aves	Emberiza	bruniceps		 Red-headed Bunting	Y				Y				T
Chordata	Aves	Emberiza	cioides		 Siberian Meadow Bunting	Y			Y				N	T
Chordata	Aves	Emberiza	hortulana		 Ortolan Bunting	Y	Y	Y	Y	Y	Y	Y	Y	T
Chordata	Aves	Emberiza	melanocephala		 Black-Headed Bunting	Y	Y		Y	Y			Y	T
Chordata	Aves	Emberiza	rutila		 Chestnut Bunting	Y								T
Chordata	Aves	Emberiza	spodocephala		 Black-faced Bunting	Y			Y					T
Arthropoda	Insecta	Embidopsocus	minor  			Y				?				T
Arthropoda	Insecta	Empicoris	rubromaculatus				Y	Y						T
Arthropoda	Insecta	Empoasca	pteridis			Y	Y	Y		N	N	N		T
Arthropoda	Insecta	Empoasca	punjabensis  				Y							T
Chordata	Reptilia	Emys	orbicularis		European Pond Terrapin	Y	Y	Y	Y	Y	N	N	N	F+T
Arthropoda	Insecta	Encarsia	aurantii  				Y				?			T
Arthropoda	Insecta	Encarsia	berlesei  				Y				?			T
Arthropoda	Insecta	Encarsia	formosa			Y	Y		Y	?	?		N	T
Arthropoda	Insecta	Encarsia	herndoni  				Y				?			T
Arthropoda	Insecta	Encarsia	hispida  				Y				?			T
Arthropoda	Insecta	Encarsia	lahorensis  				Y				?			T
Arthropoda	Insecta	Encarsia	lounsburyi				Y		Y		?		?	T
Arthropoda	Insecta	Encarsia	pergandiella  				Y				?			T
Arthropoda	Insecta	Encarsia	perniciosi  				Y				?			T
Arthropoda	Insecta	Encarsia 	citrina						Y					T
Arthropoda	Insecta	Encyrtus	infelix			Y	Y		N	?	?			T
Arthropoda	Insecta	Enderleinella	obsoleta  			Y				?				T
Arthropoda	Insecta	Enderleinellus	longiceps 			Y				?				T
Arthropoda	Insecta	Enderleinellus	tamiasis 				Y				?			T
Arthropoda	Insecta	Endrosis	sarcitrella			Y		Y	Y	Y		Y	Y	T
Mollusca	Bivalvia	Ensis	directus		American jack knife clam	Y	Y	Y	Y	Y	Y	Y	Y	M
Ascomycota	Ascomycetes	Entoleuca	mammata   			Y	Y	Y		Y				T
Chordata	Aves	Eophona	migratoria		 Chinese Grosbeak	Y			Y	Y			Y	T
Chordata	Aves	Eophona	personata		 Japanese Grosbeak	Y				Y				T
Arthropoda	Arachnida	Eperigone	eschatologica					Y	Y			Y		T
Pinophyta	Pinopsida	Ephedra	altissima   				Y							T
Arthropoda	Insecta	Ephestia	elutella		 Cacao Moth	Y	Y	Y	Y	Y		Y	Y	T
Arthropoda	Insecta	Ephestia	kuehniella		 Mediterranean Flour Moth	Y	Y	Y	Y	Y		Y	Y	T
Arthropoda	Insecta	Ephestia 	unicolorella						Y					T
Arthropoda	Insecta	Ephippigerida	nigromarginata  				Y				N			T
Arthropoda	Insecta	Ephistemus	globulus  			Y				Y				T
Arthropoda	Insecta	Epichoristodes	acerbella  			Y	Y			?	?			T
Arthropoda	Insecta	Epidiplosis	filifera  			Y				?				T
Angiospermae	Eudicotyledoneae	Epilobium	ciliatum		American Willowherb	Y	Y	Y	Y		Y	Y	Y	T
Arthropoda	Insecta	Epinotia	algeriensis  				Y				?			T
Arthropoda	Insecta	Epinotia	cedricida  				Y				?			T
Arthropoda	Insecta	Epiphyas	postvittana		 Light Brown Apple Moth	Y	Y		N	Y			N	T
Arthropoda	Insecta	Epuraea	luteola  				Y				?			T
Arthropoda	Insecta	Epuraea	ocularis  				Y				?			T
Pteridophyta	Equisetopsida	Equisetum	ramosissimum		Boston Horsetail	Y	Y	Y	Y	Y	N	N	N	T
Angiospermae	Monocotyledoneae	Eragrostis	curvula		African Love-Grass	Y	Y	Y				Y		T
Arthropoda	Insecta	Eratophyes	amasiella						Y				?	T
Arthropoda	Insecta	Eremocoris	fenestratus			Y				Y				T
Arthropoda	Insecta	Eretmocerus	eremicus				Y		Y		?		?	T
Arthropoda	Insecta	Eretmocerus	mundus  						Y				?	T
Arthropoda	Maxillopoda	Ergasilus	briani			Y				Y				F
Arthropoda	Maxillopoda	Ergasilus	gibbus			Y				Y				F
Arthropoda	Maxillopoda	Ergasilus	sieboldi			Y				Y				F
Arthropoda	Insecta	Ericaphis	scammelli			Y	Y		Y	?				T
Arthropoda	Insecta	Ericaphis	wakibae			Y				?				T
Angiospermae	Eudicotyledoneae	Erigeron	annuus		Tall Fleabane	Y	Y	Y	Y		Y	Y	Y	T
Arthropoda	Arachnida	Erigone	aletris			Y				Y				T
Arthropoda	Malacostraca	Eriocheir	sinensis		Chinese Mitten Crab	Y	Y	Y	Y	Y	Y	Y	Y	M+F
Arthropoda	Insecta	Eriococcus	araucariae 				Y				?			T
Arthropoda	Insecta	Eriococcus	coccineus				Y				?			T
Arthropoda	Arachnida	Eriophyes	pyri			Y	Y	Y	Y	Y		Y	N	T
Arthropoda	Insecta	Eriosoma	lanigerum		 Woolly Aphid	Y	Y	Y	Y	Y	?	Y	Y	T
Arthropoda	Insecta	Eriozona	erratica		 A Hoverfly	Y		Y	Y	Y		?	?	T
Arthropoda	Insecta	Eriozona	syrphoides		 A Hoverfly	Y			Y	Y			N	T
Annelida	Clitellata	Erpobdella 	testacea					Y	Y			Y	Y	F
